playerRegion,playerLanguage,playerNumberOfDaysOld,numberOfGuesses,countryFlagEmoji,deviceAlternateLanguage,deviceIdentifierForVendor
MX,fr,22.0,1.9,🇷🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,fr,22.0,1.9,🇸🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇸🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,fr,22.0,1.9,🇹🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇻🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇦🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇦🇽,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇦🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇩🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇦🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇦🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇦🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇦🇶,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇦🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇦🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇦🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇦🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇦🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇧🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇧🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇧🇧,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇧🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇧🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇧🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇧🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇧🇶,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇧🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇧🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇧🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇮🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇧🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇧🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇰🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇨🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇨🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇰🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇨🇽,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇨🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇨🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇭🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇨🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇨🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇨🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇩🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇩🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇪🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇪🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇪🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇫🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇫🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇫🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇫🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇵🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇹🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇬🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇬🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇬🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇬🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇵,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇬🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇬🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇬🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇭🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇻🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇭🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇮🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇮🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇮🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇮🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇮🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇮🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇮🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇯🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇯🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇰🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇰🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇰🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇰🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇱🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇱🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇱🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇱🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇱🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇱🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇲🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇲🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇲🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇲🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇲🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇲🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇲🇶,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇲🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇾🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇫🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇲🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇲🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇲🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇲🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇲🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇲🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇳🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇳🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇳🇵,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇳🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇳🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇳🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇳🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇳🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇳🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇲🇵,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇳🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇵🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇵🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇵🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇵🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇵🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇷🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇷🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇧🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇸🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇰🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇱🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇲🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇵🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇻🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇼🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇸🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇸🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇷🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇸🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇸🇽,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇸🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇸🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇸🇧,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇿🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇬🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇪🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇱🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇸🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇸🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇸🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇸🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇨🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇹🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇹🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇹🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇹🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇹🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇹🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇹🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇹🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇹🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇺🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇺🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇬🇧,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,en,22.0,1.9,🇺🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇺🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,en,22.0,1.9,🇺🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,en,22.0,1.9,🇻🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇻🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇻🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇼🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇪🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.9,🇿🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,en,22.0,1.9,🇿🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,es,22.0,1.9,🇦🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,es,22.0,1.9,🇧🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇨🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,es,22.0,1.9,🇨🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,es,22.0,1.9,🇨🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,es,22.0,1.9,🇨🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,es,22.0,1.9,🇩🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇪🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇸🇻,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,es,22.0,1.9,🇬🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,es,22.0,1.9,🇭🇳,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,es,22.0,1.9,🇲🇽,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇳🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,es,22.0,1.9,🇵🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,es,22.0,1.9,🇵🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,es,22.0,1.9,🇵🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇵🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,es,22.0,1.9,🇺🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,es,22.0,1.9,🇻🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇨🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇬🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇲🇰,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇬🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇬🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇻🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,7.0,🇹🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇬🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇱🇧,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,5.0,🇦🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇳🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.0,🇼🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇵🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,5.0,🇪🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,5.0,🇵🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇹🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇧🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.0,🇻🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇮🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇪🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇵🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,6.0,🇲🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,5.0,🇿🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇫🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.0,🇸🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,1.0,🇲🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇺🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,3.0,🇸🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,2.0,🇨🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,4.0,🇼🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,en,22.0,5.0,🇸🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
